"Analyze","Id Heavy","Definition Heavy","Id Light","Definition Light","Source","Reference","Antigen","%id","e-value"
"","GP282223","Sequence 3 from patent US 7507797.","GP282223","Sequence 3 from patent US 7507797.","Unknown.","Single-chain antibody acting against 37 kDa/67 kDa Iaminin receptor            as tools for the diagnosis and therapy of prion diseases and             cancer, production and use thereof","","88.66","6e-124"
"","CS077820","Sequence 3 from Patent WO2005035580.","CS077820","Sequence 3 from Patent WO2005035580.","synthetic construct","Single-chain antibody acting against 37 kda/67 kda laminin receptor            as tools for the diagnosis and therapy of prion diseases and             cancer, production and use thereof","","88.66","6e-124"
"","ACQ13333","Sequence 4 from patent US 7507797.","ACQ13333","Sequence 4 from patent US 7507797.","Unknown.","Single-chain antibody acting against 37 kDa/67 kDa Iaminin receptor            as tools for the diagnosis and therapy of prion diseases and             cancer, production and use thereof","","88.66","6e-124"
"","EF127823","Synthetic construct clone SFDBII92HC scFv immunoglobulin heavy            chain variable region gene, partial cds.","EF127828","Synthetic construct clone SFDBII92LC scFv immunoglobulin light            chain variable region gene, partial cds.","synthetic construct","Direct Submission","","86.64","9e-119"
"","AB363101","Homo sapiens IGH mRNA for immunoglobulin heavy chain, partial cds,            clone: F008-007H.","AB363355","Homo sapiens IGL mRNA for immunoglobulin lambda light chain,            partial cds, clone: F008-007L.","Homo sapiens (human)","The repertoire of neutralizing monoclonal antibodies against H3N2            influenza viruses in human","","85.83","2e-118"
"","Y12720","H.sapiens mRNA for immunoglobulin heavy chain, Fab fragment, clones            PDG13/PDG17/PDG31/PDG37.","Y12722","H.sapiens mRNA for immunoglobulin lambda light chain, Fab fragment,            clones PDG13/PDG17/PDG31/PDG37.","Homo sapiens (human)","Recombinant human natural autoantibodies against GPIIb/IIIa inhibit            binding of autoantibodies from patients with AITP","","86.64","8e-118"
"","AB363108","Homo sapiens IGH mRNA for immunoglobulin heavy chain, partial cds,            clone: F008-055H.","AB363362","Homo sapiens IGL mRNA for immunoglobulin lambda light chain,            partial cds, clone: F008-055L.","Homo sapiens (human)","The repertoire of neutralizing monoclonal antibodies against H3N2            influenza viruses in human","","85.02","2e-117"
"","AB363150","Homo sapiens IGH mRNA for immunoglobulin heavy chain, partial cds,            clone: F021-226H.","AB363372","Homo sapiens IGL mRNA for immunoglobulin lambda light chain,            partial cds, clone: F021-226L.","Homo sapiens (human)","The repertoire of neutralizing monoclonal antibodies against H3N2            influenza viruses in human","","84.62","7e-117"
"","DQ250253","Synthetic construct clone NN-13 NIP-specific single chain antibody            fragment gene, partial cds.","DQ250253","Synthetic construct clone NN-13 NIP-specific single chain antibody            fragment gene, partial cds.","synthetic construct","A focused antibody library for improved hapten recognition","","83.47","1e-116"
"","EU169674","Homo sapiens hybridoma 1F1 immunoglobulin heavy chain mRNA, partial            cds.","EU169677","Homo sapiens hybridoma 1F1 immunoglobulin light chain mRNA, partial            cds.","Homo sapiens (human)","Neutralizing antibodies derived from the B cells of 1918 influenza            pandemic survivors","","84.68","7e-115"
