"Analyze","Id Heavy","Definition Heavy","Id Light","Definition Light","Source","Reference","Antigen","%id","e-value"
"","ABG27073","anti-EGFR scFv antibody [synthetic construct].","ABG27073","anti-EGFR scFv antibody [synthetic construct].","synthetic construct","Selection and characterization of an internalizing epidermal growth            factor receptor antibody","EGFR","89.11","4e-123"
"","DQ666353","Synthetic construct clone F4 anti-EGFR scFv antibody gene, complete            cds.","DQ666353","Synthetic construct clone F4 anti-EGFR scFv antibody gene, complete            cds.","synthetic construct","Selection and characterization of an internalizing epidermal growth            factor receptor antibody","EGFR","89.11","5e-123"
"","AB363162","Homo sapiens IGH mRNA for immunoglobulin heavy chain, partial cds,            clone: F021-385H.","AB363380","Homo sapiens IGL mRNA for immunoglobulin lambda light chain,            partial cds, clone: F021-385L.","Homo sapiens (human)","The repertoire of neutralizing monoclonal antibodies against H3N2            influenza viruses in human","","84.00","1e-114"
"","AJ300806","Homo sapiens partial mRNA for immunoglobulin gamma heavy chain            variable region (IGHV3-15), clone M2u-05 (m2hoe05), Kawasaki             disease patient.","AJ408289","Homo sapiens partial mRNA for immunoglobulin lambda light chain            variable region (1c.10.2/DPL2 gene (locus 1c)), clone M2u-05             (m2loe05), Kawasaki disease patient.","Homo sapiens (human)","The B cell superantigen-like interaction of intravenous            immunoglobin (IVIG) with Fab fragments of V(H) 3-23 and 3-30/3-30.5             germline gene origin cloned from a patient with Kawasaki disease is             enhanced after IVIG therapy","","83.74","6e-114"
"","3C2A_H","Chain H, Antibody Fab Fragment 447-52d In Complex With Ug1033            Peptide.","3C2A_L","Chain L, Antibody Fab Fragment 447-52d In Complex With Ug1033            Peptide.","Homo sapiens (human)","Structure determination of an anti-HIV-1 Fab 447-52D-peptide            complex from an epitaxially twinned data set","","80.32","7e-112"
"","1Q1J_H","Chain H, Crystal Structure Analysis Of Anti-Hiv-1 Fab 447-52d In            Complex With V3 Peptide.","1Q1J_L","Chain L, Crystal Structure Analysis Of Anti-Hiv-1 Fab 447-52d In            Complex With V3 Peptide.","Homo sapiens (human)","Structural rationale for the broad neutralization of HIV-1 by human            monoclonal antibody 447-52D","","80.32","7e-112"
"","3GHB_H","Chain H, Crystal Structure Of Anti-Hiv-1 Fab 447-52d In Complex            With V3 Peptide W2rw020.","3GHB_L","Chain L, Crystal Structure Of Anti-Hiv-1 Fab 447-52d In Complex            With V3 Peptide W2rw020.","Homo sapiens (human)","Structural basis of the cross-reactivity of genetically related            human anti-HIV-1 mAbs: implications for design of V3-based             immunogens","","80.32","7e-112"
"","AB363101","Homo sapiens IGH mRNA for immunoglobulin heavy chain, partial cds,            clone: F008-007H.","AB363355","Homo sapiens IGL mRNA for immunoglobulin lambda light chain,            partial cds, clone: F008-007L.","Homo sapiens (human)","The repertoire of neutralizing monoclonal antibodies against H3N2            influenza viruses in human","","84.27","3e-111"
"","EF127823","Synthetic construct clone SFDBII92HC scFv immunoglobulin heavy            chain variable region gene, partial cds.","EF127828","Synthetic construct clone SFDBII92LC scFv immunoglobulin light            chain variable region gene, partial cds.","synthetic construct","Direct Submission","","83.87","8e-111"
"","GP282223","Sequence 3 from patent US 7507797.","GP282223","Sequence 3 from patent US 7507797.","Unknown.","Single-chain antibody acting against 37 kDa/67 kDa Iaminin receptor            as tools for the diagnosis and therapy of prion diseases and             cancer, production and use thereof","","82.66","2e-110"
